brand;type;model;cubic_capacity;max_power;max_torque;seats;weight;max_engine_speed;seconds_to_100;top_speed;sports_car;tau
Ford;Scorpio;1 generation;1796;66;140;5;1180;5400;13.1;179;0;26.0307183
Ford;Scorpio;1 generation;1993;77;157;5;1205;5200;14.2;184;0;23.38539145
Ford;Scorpio;1 generation;1993;74;153;5;1215;5400;12;181;0;24.53538519
Ford;Scorpio;1 generation;1993;77;157;5;1185;5200;11.5;188;0;22.99725217
Ford;Scorpio;1 generation;1993;74;148;5;1250;5100;15.3;177;0;25.24216583
Ford;Scorpio;1 generation;1993;85;160;5;1220;5500;13.5;189;0;21.44811982
Ford;Scorpio;1 generation;1993;74;148;5;1230;5100;12.4;181;0;24.83829118
Ford;Scorpio;1 generation;1993;85;160;5;1200;5500;10.6;193;0;21.0965113
Ford;Scorpio;1 generation;2394;96;193;5;1285;5800;12.3;191;0;20.94037374
Ford;Scorpio;1 generation;2394;96;193;5;1265;5800;9.9;195;0;20.61445353
Ford;Scorpio;1 generation;2792;110;216;5;1345;5800;11.7;205;0;19.87833248
Ford;Scorpio;1 generation;2792;110;216;5;1310;5800;9.6;208;0;19.36105245
Ford;Scorpio;1 generation;2792;110;216;5;1385;5800;9.9;203;0;20.46950965
Ford;Scorpio;1 generation;2936;110;233;5;1355;5700;11;204;0;20.27949427
Ford;Scorpio;1 generation;2936;110;233;5;1315;5700;9;208;0;19.68083762
Ford;Scorpio;1 generation;2936;110;233;5;1345;5700;9.5;203;0;20.12983011
Ford;Scorpio;1 generation [Facelift];1998;85;171;5;1280;5500;13;188;0;22.51704587
Ford;Scorpio;1 generation [Facelift];1998;85;171;5;1260;5500;11.2;192;0;22.16521702
Ford;Scorpio;1 generation [Facelift];2936;107;222;5;1385;5500;11.1;200;0;21.30965929
Ford;Scorpio;1 generation [Facelift];1998;85;171;5;1330;5500;14.2;182;0;23.39661797
Ford;Scorpio;1 generation [Facelift];1998;88;171;5;1330;5500;14.2;182;0;22.59900599
Ford;Scorpio;1 generation [Facelift];1998;85;171;5;1320;5500;12.2;185;0;23.22070355
Ford;Scorpio;1 generation [Facelift];1998;88;171;5;1320;5500;12.2;185;0;22.42908866
Ford;Scorpio;1 generation [Facelift];2394;92;182;5;1355;5800;11.2;185;0;23.04114208
Ford;Scorpio;1 generation [Facelift];2936;107;222;5;1415;5500;11.3;198;0;21.77124036
Ford;Scorpio;1 generation [Facelift];2936;143;275;5;1515;5750;9.3;212;0;17.44163146
Ford;Scorpio;1 generation [Facelift];2936;107;222;5;1435;5500;9.9;196;0;22.07896107
Ford;Sierra;1 generation;1597;55;123;5;1015;4900;13.5;162;0;26.09162208
Ford;Sierra;1 generation;1796;66;140;5;1090;5400;11.4;175;0;24.04532454
Ford;Sierra;1 generation;1796;66;140;5;1110;5400;14.3;172;0;24.48652315
Ford;Sierra;1 generation;1993;77;157;5;1105;5200;10.2;183;0;21.44469506
Ford;Sierra;1 generation;1993;85;160;5;1185;5500;12.3;183;0;20.83280491
Ford;Sierra;1 generation;1993;85;160;5;1185;5500;9.6;187;0;20.83280491
Ford;Sierra;1 generation;2294;84;177;5;1210;5300;12.8;184;0;22.29594761
Ford;Sierra;1 generation;2294;84;177;5;1205;5300;10.6;187;0;22.20381559
Ford;Sierra;1 generation;2792;110;216;5;1300;5700;9.2;196;0;19.21325816
Ford;Sierra;1 generation;1993;150;276;4;1205;6000;6.1;240;1;11.14399151
Ford;Sierra;1 generation;1294;44;99;5;982;5700;16.7;152;0;29.93738607
Ford;Sierra;1 generation;1593;55;123;5;1015;4900;13.2;166;0;26.07526881
Ford;Sierra;1 generation;1597;55;123;5;1035;4900;13.3;166;0;26.60574271
Ford;Sierra;1 generation;1796;66;140;5;1050;5400;11;177;0;23.1629273
Ford;Sierra;1 generation;1993;77;157;5;1095;5200;9.8;187;0;21.25062542
Ford;Sierra;1 generation;1993;85;160;5;1145;5500;9.4;190;0;20.12958786
Ford;Sierra;1 generation;2294;84;177;5;1195;5300;10.3;190;0;22.01955156
Ford;Sierra;1 generation [Facelift];1597;53;119;5;1030;4900;15.7;163;0;27.47635265
Ford;Sierra;1 generation [Facelift];1597;59;119;5;1060;5500;14.6;167;0;25.40104479
Ford;Sierra;1 generation [Facelift];1769;64;120;5;1085;5250;14.9;167;0;24.58969942
Ford;Sierra;1 generation [Facelift];1769;66;140;5;1075;5250;13.7;172;0;23.62479151
Ford;Sierra;1 generation [Facelift];1769;64;120;5;1045;5250;14.1;166;0;23.68316672
Ford;Sierra;1 generation [Facelift];1769;66;140;5;1065;5250;12.4;175;0;23.40502601
Ford;Sierra;1 generation [Facelift];1997;74;153;5;1090;5100;14.1;175;0;22.02220454
Ford;Sierra;1 generation [Facelift];1998;88;171;5;1195;5600;12.2;184;0;20.30512193
Ford;Sierra;1 generation [Facelift];1998;74;153;5;1070;5100;11.1;178;0;21.62083321
Ford;Sierra;1 generation [Facelift];1998;77;166;5;1090;5500;11.4;180;0;21.16684557
Ford;Sierra;1 generation [Facelift];1998;80;166;5;1100;5600;10.8;180;0;20.55999793
Ford;Sierra;1 generation [Facelift];2933;107;229;5;1270;5500;9.2;203;0;19.53527173
Ford;Sierra;1 generation [Facelift];1597;55;123;5;1025;4900;14.2;165;0;26.34868239
Ford;Sierra;1 generation [Facelift];1769;64;120;5;1065;5250;14.6;169;0;24.13643307
Ford;Sierra;1 generation [Facelift];1769;66;140;5;1045;5250;11.9;178;0;22.965495
Ford;Sierra;1 generation [Facelift];1998;77;166;5;1070;5500;13.4;178;0;20.77846308
Ford;Sierra;1 generation [Facelift];1998;88;171;5;1195;5600;11.7;187;0;20.30512193
Ford;Sierra;1 generation [Facelift];1993;150;277;5;1250;6000;6.1;240;1;12.45280181
Ford;Sierra;1 generation [Facelift];1993;162;277;5;1210;6000;5.8;248;1;11.16140014
Ford;Sierra;1 generation [Facelift];1998;77;166;5;1060;5500;10.8;183;0;20.58427184
Ford;Sierra;1 generation [Facelift];1998;80;166;5;1090;5600;10.5;183;0;20.37308886
Ford;Sierra;1 generation [Facelift];1998;88;171;5;1180;5600;10;190;0;20.05024592
Ford;Sierra;1 generation [Facelift];1997;74;153;4;1070;5100;13.4;178;0;20.06849174
Ford;Sierra;1 generation [Facelift];2933;107;229;4;1265;5500;8.1;205;0;18.06354243
Ford;Sierra;1 generation [Facelift];2933;107;229;4;1225;5500;8.2;206;0;17.49236322
Ford;Sierra;1 generation [Facelift];2933;110;232;4;1250;5700;8;208;0;17.36254976
Ford;Taurus;1 generation;2496;77;190;5;1480;4400;11.5;170;0;30.38460767
Ford;Taurus;1 generation;2496;66;176;5;1420;4400;12.3;170;0;34.01159912
Ford;Taurus;1 generation;2982;103;217;5;1481;4800;NA;175;0;23.76381929
Ford;Taurus;1 generation;3797;103;292;5;1495;3800;10.7;180;0;25.48212342
Ford;Taurus;1 generation;2496;77;190;5;1414;4400;10.9;165;0;29.02961841
Ford;Taurus;1 generation;2986;162;271;5;1520;6200;6.5;220;1;15.51216879
Ford;Taurus;1 generation;3797;103;292;5;1420;3800;9.2;185;0;24.20375602
Ford;Taurus;2 generation;2986;162;292;5;1550;6200;6.7;220;1;15.81833002
Ford;Tempo;1 generation;2307;75;176;5;1180;4400;NA;160;0;24.38676201
Ford;Tempo;1 generation;2307;73;168;5;1145;4400;NA;165;0;24.31173889
Ford;Tempo;1 generation;2986;97;204;5;1160;4800;NA;170;0;19.77107135
Ford;Thunderbird;9 generation;2301;107;244;5;1360;4600;10.2;195;0;19.68818959
Ford;Thunderbird;9 generation;2301;107;244;5;1360;4600;9;206;0;19.68818959
Ford;Thunderbird;9 generation;2301;114;258;5;1395;4600;8.9;216;0;18.95483501
Ford;Thunderbird;9 generation;3797;82;237;5;1395;4000;13.6;184;0;29.86702752
Ford;Thunderbird;9 generation;3797;88;278;5;1378;3600;11.7;190;0;27.49148453
Ford;Thunderbird;9 generation;3797;82;237;5;1395;4000;12.4;178;0;29.86702752
Ford;Thunderbird;9 generation;3797;88;278;5;1378;3600;11;187;0;27.49148453
Ford;Thunderbird;9 generation;4942;96;325;5;1410;3200;10.2;195;0;27.5419739
Ford;Thunderbird;9 generation;4942;103;339;5;1464;3200;9.8;202;0;26.6533029
Ford;Thunderbird;9 generation;4942;110;366;5;1475;3400;9.5;200;0;25.14470345
Ford;Thunderbird;9 generation [Facelift];3797;103;292;4;1458;3800;10.1;192;0;23.07005386
Ford;Thunderbird;9 generation [Facelift];4942;114;359;4;1517;3400;9.6;200;0;23.16458769
Ford;Thunderbird;9 generation [Facelift];2301;110;271;4;1533;4400;9.7;177;0;20.03995695
Ford;Thunderbird;9 generation [Facelift];2301;140;326;4;1533;4400;7.8;232;1;15.74568046
